loan_id,customer_id,loan_amount,interest_rate,term_months,start_date,status
3321,5378,2390000,5.04,24,2024-12-20,정상
3322,3483,730000,5.84,24,2023-05-31,연체
3323,2088,4410000,4.18,36,2023-05-25,정상
3324,8150,800000,5.61,6,2023-12-22,정상
3325,1978,730000,5.28,24,2024-05-12,정상
3326,3117,1670000,5.14,24,2023-03-29,정상
3327,6201,830000,5.21,12,2023-04-26,정상
3328,9438,730000,5.97,6,2023-03-18,정상
3329,6870,4030000,4.69,12,2024-11-12,정상
3330,1523,730000,5.86,24,2024-05-05,정상
3331,7542,730000,6.83,24,2024-01-30,연체
3332,8818,740000,6.02,24,2024-12-04,정상
3333,8779,1850000,4.99,12,2024-11-17,완료
3334,6282,7170000,5.5,36,2023-06-30,정상
3335,734,2940000,4.62,24,2023-08-21,정상
3336,8861,1540000,5.87,12,2023-08-28,정상
3337,3020,730000,5.86,24,2024-07-14,연체
3338,8026,1010000,5.45,6,2024-02-04,연체
3339,8230,3900000,5.14,24,2024-02-04,정상
3340,601,730000,5.27,24,2023-10-10,정상
3341,9031,730000,5.34,24,2024-09-15,완료
3342,9991,3780000,5.31,36,2023-06-23,정상
3343,687,14900000,4.79,36,2024-10-26,완료
3344,7700,5240000,4.58,12,2024-02-23,정상
3345,6126,11190000,5.11,12,2024-10-03,정상
3346,5757,35370000,5.02,60,2024-10-11,정상
3347,7646,23010000,4.69,36,2023-03-31,정상
3348,3911,108250000,4.82,24,2024-04-22,정상
3349,1379,27090000,5.3,60,2024-05-29,정상
3350,8192,1490000,4.93,6,2024-11-04,정상
3351,9534,64990000,5.38,60,2024-10-01,완료
3352,5383,730000,5.3,24,2023-09-04,정상
3353,5613,3280000,5.23,36,2024-04-15,정상
3354,3206,4410000,4.5,36,2024-04-19,정상
3355,4782,39190000,5.13,24,2023-11-24,완료
3356,2997,12180000,5.74,36,2024-01-09,정상
3357,9998,1900000,4.87,6,2024-09-12,정상
3358,8698,2330000,5.42,24,2023-08-21,연체
3359,5736,2660000,5.01,12,2023-04-20,정상
3360,8425,5980000,5.79,12,2023-08-24,정상
3361,1424,4940000,4.26,12,2023-09-06,정상
3362,4909,1510000,5.48,6,2023-02-25,정상
3363,6899,730000,5.47,12,2023-06-28,정상
3364,1698,1630000,5.26,6,2024-12-03,정상
3365,8942,36640000,4.78,24,2024-12-03,정상
3366,7626,22800000,4.88,36,2023-10-11,정상
3367,3742,22020000,5.42,60,2023-11-26,정상
3368,5792,3440000,4.55,36,2023-04-24,완료
3369,4721,6130000,5.35,12,2024-10-15,정상
3370,7442,14340000,5.06,36,2024-12-15,정상
3371,7386,10310000,4.49,12,2024-10-06,정상
3372,3328,1360000,4.88,12,2024-07-04,정상
3373,3425,9600000,5.37,24,2024-08-25,정상
3374,6755,108250000,4.92,24,2024-11-27,정상
3375,9114,11170000,5.09,36,2024-04-06,완료
3376,834,11190000,4.92,12,2023-04-07,정상
3377,419,26210000,5.06,60,2023-03-20,완료
3378,7453,2410000,5.77,6,2024-10-02,정상
3379,157,5640000,5.53,24,2024-06-19,완료
3380,4189,730000,5.99,12,2023-01-31,정상
3381,5538,850000,5.49,12,2023-11-11,정상
3382,58,21170000,4.19,36,2024-04-24,정상
3383,2589,3380000,4.95,24,2024-08-21,정상
3384,1409,730000,6.12,12,2023-11-14,연체
3385,1273,730000,5.92,12,2023-03-22,연체
3386,5819,45560000,4.54,60,2023-09-18,정상
3387,446,2440000,5.66,6,2023-02-23,완료
3388,8928,9990000,4.15,36,2024-11-20,정상
3389,8992,3260000,5.07,12,2024-02-12,정상
3390,8456,730000,5.54,6,2023-11-16,연체
3391,1226,6280000,4.66,24,2024-11-16,완료
3392,5894,9920000,4.89,12,2023-11-20,정상
3393,4825,2730000,5.2,24,2023-07-04,완료
3394,4986,21100000,4.92,60,2023-03-15,정상
3395,9597,730000,5.51,24,2023-11-05,정상
3396,1977,5510000,4.82,36,2023-07-14,정상
3397,6178,2190000,5.04,12,2023-09-23,정상
3398,4775,730000,6.65,6,2023-06-19,정상
3399,9998,1150000,5.61,12,2023-01-24,정상
3400,6821,3640000,5.81,36,2024-10-14,정상
3401,7758,2850000,5.0,12,2024-06-25,정상
3402,3370,24320000,4.82,60,2024-11-24,정상
3403,8233,108250000,6.25,36,2023-04-05,정상
3404,1951,730000,6.0,24,2023-04-17,연체
3405,2603,3220000,5.21,12,2023-10-06,완료
3406,4174,730000,5.44,6,2024-11-10,정상
3407,1716,1620000,5.38,6,2024-12-16,정상
3408,4061,1450000,5.11,24,2023-05-23,정상
3409,8693,730000,6.07,12,2023-02-02,완료
3410,6470,9700000,4.77,12,2024-07-03,정상
3411,2314,2630000,5.14,12,2024-10-07,정상
3412,7429,980000,5.4,24,2024-12-29,정상
3413,3625,2980000,5.93,6,2024-12-17,완료
3414,8949,12990000,4.77,36,2023-12-21,완료
3415,5647,1510000,5.03,12,2024-11-03,정상
3416,3781,730000,6.21,24,2024-01-25,연체
3417,7296,6830000,5.83,24,2024-12-15,정상
3418,3418,730000,5.58,24,2023-04-13,연체
3419,4432,29340000,5.58,60,2024-12-15,정상
3420,6818,730000,5.52,6,2024-06-30,연체
3421,4060,1870000,4.58,6,2023-04-20,정상
3422,9959,6290000,5.71,24,2024-10-05,정상
3423,1223,3030000,5.12,36,2024-08-09,정상
3424,9461,3080000,4.96,36,2024-12-13,완료
3425,8718,6270000,4.92,24,2024-10-22,정상
3426,9637,22400000,5.06,36,2023-04-06,완료
3427,7685,16650000,5.17,36,2023-06-22,정상
3428,4984,4370000,4.46,36,2023-10-07,정상
3429,3470,730000,6.25,6,2024-10-24,연체
3430,2354,14110000,4.6,24,2023-12-21,정상
3431,189,5250000,4.74,12,2024-05-08,연체
3432,6077,49060000,4.86,36,2023-03-02,정상
3433,1979,2430000,5.22,12,2024-08-23,정상
3434,5892,8240000,4.16,12,2023-06-03,정상
3435,9009,7660000,4.54,24,2024-09-07,완료
3436,8111,730000,5.26,12,2023-04-19,정상
3437,3333,2420000,5.14,12,2023-01-16,완료
3438,2597,730000,5.8,24,2023-05-11,정상
3439,7552,3390000,5.19,36,2023-10-01,정상
3440,4382,730000,5.62,24,2023-01-16,정상
3441,5310,5950000,4.99,24,2024-04-14,정상
3442,5619,1720000,5.45,24,2024-03-13,완료
3443,5796,13960000,5.12,24,2024-02-25,완료
3444,6159,10420000,5.4,36,2024-08-30,정상
3445,8030,730000,5.88,24,2024-05-14,정상
3446,8766,1760000,4.68,12,2024-11-21,완료
3447,1406,2430000,5.06,12,2023-05-21,정상
3448,549,108250000,5.97,60,2024-06-28,정상
3449,3774,730000,6.38,24,2023-10-09,정상
3450,4414,7880000,3.89,12,2023-01-25,정상
3451,3838,10590000,4.61,12,2023-11-30,완료
3452,6796,2960000,5.01,6,2024-07-10,정상
3453,9676,1140000,5.57,24,2024-11-12,정상
3454,3097,1490000,5.27,24,2024-09-27,정상
3455,6000,10540000,5.22,12,2024-03-10,정상
3456,9955,730000,4.38,24,2023-03-08,완료
3457,2044,1160000,5.93,12,2023-05-21,정상
3458,6184,730000,6.72,24,2024-01-12,정상
3459,5273,730000,6.27,24,2023-10-12,연체
3460,2449,5990000,5.05,12,2023-05-27,정상
3461,2409,108250000,6.2,24,2023-02-10,정상
3462,5876,3320000,4.89,24,2024-05-16,연체
3463,8780,4400000,4.85,24,2023-02-27,정상
3464,1766,60120000,5.1,36,2023-08-21,정상
3465,3028,4480000,4.87,12,2023-03-06,완료
3466,2839,730000,5.95,24,2023-08-14,연체
3467,860,730000,5.19,6,2023-08-09,완료
3468,1702,730000,5.75,6,2024-11-28,연체
3469,5973,3660000,5.71,12,2024-09-26,정상
3470,6353,730000,5.92,24,2024-07-09,연체
3471,4227,5000000,4.95,24,2023-05-13,정상
3472,3206,9540000,5.06,36,2023-05-10,정상
3473,2180,1280000,5.02,6,2024-09-03,정상
3474,7631,730000,6.06,24,2024-02-19,연체
3475,5145,820000,5.33,24,2024-01-11,정상
3476,5928,1470000,4.95,24,2024-08-31,연체
3477,2059,11330000,5.07,36,2023-12-31,완료
3478,1873,53770000,5.17,24,2023-03-05,정상
3479,1143,11810000,4.99,24,2023-08-04,연체
3480,8163,3630000,5.06,24,2024-02-24,정상
3481,2719,730000,5.94,24,2024-07-29,연체
3482,4475,730000,6.23,6,2024-07-19,정상
3483,8964,730000,5.87,24,2023-06-05,연체
3484,3096,900000,5.16,24,2024-01-31,정상
3485,3256,900000,5.18,24,2023-08-24,연체
3486,2862,34070000,4.19,24,2023-12-11,정상
3487,816,3770000,4.7,12,2024-12-24,연체
3488,810,730000,6.26,12,2024-05-09,정상
3489,742,730000,5.65,24,2023-05-28,연체
3490,550,730000,5.48,24,2024-06-27,완료
3491,4390,940000,5.13,12,2023-06-10,정상
3492,1917,730000,6.5,6,2023-11-26,연체
3493,5095,730000,6.17,6,2024-04-11,정상
3494,9453,33040000,4.75,24,2024-11-17,완료
3495,3208,2230000,4.64,12,2023-03-27,정상
3496,5070,10570000,5.5,24,2023-04-06,정상
3497,9255,1260000,5.87,12,2024-11-26,연체
3498,1235,44860000,5.04,36,2024-05-29,정상
3499,5276,12840000,5.01,12,2024-04-25,완료
3500,9294,5960000,5.25,36,2023-05-11,정상
3501,8055,6110000,4.62,36,2024-10-18,정상
3502,8123,730000,5.74,24,2024-03-20,정상
3503,7302,19200000,4.4,24,2023-11-09,정상
3504,2186,13520000,5.07,36,2023-06-17,정상
3505,5037,1660000,5.71,24,2023-12-26,연체
3506,7149,4700000,4.95,12,2023-12-15,정상
3507,2150,5620000,4.61,12,2024-12-07,정상
3508,9140,790000,5.3,6,2024-09-10,완료
3509,9418,730000,5.68,24,2024-03-14,정상
3510,9535,10500000,5.01,24,2023-05-26,정상
3511,3182,730000,6.2,6,2023-09-29,정상
3512,7402,1610000,6.06,6,2023-10-21,정상
3513,4039,730000,6.16,6,2023-11-13,정상
3514,1414,33300000,5.32,36,2023-11-29,정상
3515,2436,730000,5.67,12,2024-08-30,정상
3516,4543,17160000,5.11,24,2023-12-08,정상
3517,3014,4260000,4.73,24,2024-02-04,정상
3518,5380,730000,5.93,12,2023-11-20,정상
3519,6751,730000,6.27,24,2023-04-09,정상
3520,5690,3290000,4.4,12,2024-01-05,정상
3521,9742,2660000,4.87,6,2024-04-20,완료
3522,370,730000,5.59,24,2023-07-20,정상
3523,6898,10490000,4.55,24,2024-02-15,정상
3524,4958,1940000,5.32,24,2023-05-11,정상
3525,6882,730000,4.83,6,2023-05-03,연체
3526,5234,1300000,4.69,12,2023-08-26,연체
3527,1741,1130000,5.45,24,2024-09-30,연체
3528,3112,41640000,4.81,60,2023-11-20,정상
3529,1631,730000,5.93,24,2024-06-19,완료
3530,3587,16970000,5.18,12,2024-06-20,정상
3531,6169,730000,5.89,6,2024-10-02,정상
3532,3064,990000,5.52,12,2023-02-19,완료
3533,3783,730000,5.18,24,2024-12-25,정상
3534,9812,20870000,5.62,36,2023-01-08,정상
3535,7739,7860000,4.63,12,2024-06-01,정상
3536,6821,3610000,5.09,36,2024-09-30,정상
3537,5425,730000,4.82,24,2024-08-15,연체
3538,8901,730000,5.44,12,2024-05-25,정상
3539,4121,22590000,4.55,24,2024-05-03,완료
3540,8728,4550000,5.8,12,2024-01-07,정상
3541,5640,1410000,6.16,24,2024-01-23,연체
3542,765,9290000,4.62,12,2024-01-16,정상
3543,795,730000,5.78,24,2023-01-15,연체
3544,7515,11590000,4.68,24,2024-08-06,정상
3545,9897,730000,5.94,24,2023-02-14,연체
3546,4128,880000,4.8,6,2024-10-14,정상
3547,3945,1560000,5.27,6,2024-06-05,정상
3548,3970,47850000,4.59,24,2023-04-29,완료
3549,8330,20610000,4.55,24,2024-04-16,정상
3550,3857,730000,5.32,24,2024-01-09,정상
3551,7669,10240000,4.82,12,2023-08-27,정상
3552,1809,730000,5.93,12,2023-04-16,연체
3553,122,780000,5.12,6,2023-11-15,완료
3554,9683,730000,5.53,12,2024-11-19,정상
3555,303,1230000,4.6,24,2023-08-14,완료
3556,8422,1370000,5.36,24,2024-03-13,연체
3557,3894,730000,4.79,6,2023-12-25,완료
3558,1246,108250000,5.43,60,2024-08-03,정상
3559,8611,14660000,4.87,36,2024-12-21,정상
3560,5330,2020000,5.05,12,2023-02-16,정상
3561,6867,6100000,5.1,12,2024-06-11,정상
3562,8302,4900000,5.43,24,2023-12-03,정상
3563,6224,3710000,5.43,24,2023-05-07,정상
3564,9407,1850000,5.59,12,2023-04-03,정상
3565,9527,730000,5.78,12,2023-07-17,완료
3566,4608,1440000,5.08,12,2024-08-29,정상
3567,1904,6030000,4.02,36,2023-01-06,정상
3568,7361,990000,5.0,24,2023-06-19,완료
3569,7825,730000,5.99,24,2024-07-22,연체
3570,8707,2050000,5.29,24,2024-03-17,연체
3571,8983,5380000,5.1,12,2023-05-23,정상
3572,8196,730000,5.55,6,2024-02-16,정상
3573,9874,730000,5.58,6,2024-05-07,연체
3574,1052,1260000,5.84,6,2023-07-15,연체
3575,5119,26860000,4.91,60,2023-10-17,정상
3576,2779,730000,6.04,24,2024-07-25,정상
3577,7899,730000,5.84,12,2024-05-25,연체
3578,7052,1490000,5.64,12,2024-01-08,정상
3579,2833,29540000,4.44,60,2023-05-15,정상
3580,8787,6060000,4.52,36,2024-12-16,정상
3581,2640,21130000,5.03,60,2023-10-24,정상
3582,1136,790000,5.19,6,2024-03-27,완료
3583,5555,930000,4.67,24,2024-09-10,정상
3584,2397,730000,5.8,12,2024-01-17,정상
3585,7468,13350000,4.28,36,2024-03-21,연체
3586,4936,6750000,4.23,12,2024-09-11,정상
3587,8915,1690000,5.49,24,2023-05-14,정상
3588,1759,2020000,5.7,24,2024-04-28,완료
3589,2892,3120000,4.4,12,2024-03-31,정상
3590,715,6710000,4.4,24,2023-07-17,정상
3591,8755,108250000,5.21,60,2023-10-21,정상
3592,2125,840000,4.7,6,2024-12-25,연체
3593,3375,12400000,4.72,36,2024-05-30,정상
3594,5176,1400000,5.69,12,2024-12-14,정상
3595,5897,1060000,5.35,6,2024-07-27,정상
3596,7632,1090000,5.43,12,2023-05-20,정상
3597,2538,1650000,5.62,6,2024-08-19,정상
3598,7833,108250000,5.2,36,2024-08-14,완료
3599,942,36650000,4.79,24,2023-07-07,정상
3600,8107,800000,5.36,12,2023-01-13,연체
3601,9741,730000,5.81,24,2023-06-03,정상
3602,7258,1210000,5.32,12,2024-05-04,정상
3603,5013,8350000,4.96,36,2023-08-17,정상
3604,867,15920000,5.08,36,2023-04-30,연체
3605,2191,730000,7.2,24,2024-02-20,완료
3606,6651,8040000,5.22,12,2024-06-15,정상
3607,5900,850000,4.66,12,2024-10-28,정상
3608,2957,108250000,5.05,24,2024-10-23,정상
3609,6075,1350000,5.36,24,2024-10-23,정상
3610,6990,730000,5.05,12,2024-09-21,연체
3611,2836,5370000,4.4,36,2024-10-27,정상
3612,6983,59750000,5.45,36,2024-08-12,정상
3613,7990,8260000,5.01,24,2024-10-23,연체
3614,9502,730000,6.37,6,2024-02-17,연체
3615,2309,3020000,5.12,36,2024-02-09,정상
3616,7757,20150000,5.05,24,2024-12-10,정상
3617,2976,730000,5.85,6,2024-03-04,완료
3618,844,730000,5.5,6,2023-05-27,연체
3619,1238,2270000,4.92,12,2024-01-22,연체
3620,9119,730000,6.35,24,2024-08-30,정상
3621,7060,4530000,4.42,36,2023-02-19,정상
3622,240,1900000,5.88,6,2023-10-06,연체
3623,3028,3540000,5.26,36,2024-11-09,정상
3624,7396,16130000,5.31,36,2023-12-04,정상
3625,9109,3040000,4.97,12,2023-04-09,연체
3626,6077,47130000,4.76,60,2023-06-01,정상
3627,9449,1050000,4.7,12,2023-11-25,정상
3628,523,730000,5.41,12,2024-04-17,연체
3629,8822,1290000,5.1,6,2023-04-27,정상
3630,7042,20960000,4.79,36,2023-08-13,정상
3631,91,5740000,4.78,36,2023-05-09,정상
3632,3253,15110000,5.72,12,2024-02-15,정상
3633,1722,1460000,5.21,24,2023-09-08,연체
3634,3596,730000,5.91,6,2024-08-18,연체
3635,5017,76230000,6.19,60,2023-04-12,정상
3636,5424,730000,4.45,6,2023-09-13,정상
3637,923,1050000,5.53,12,2024-05-22,정상
3638,9077,21280000,4.65,24,2023-09-04,정상
3639,1789,5800000,5.32,24,2023-04-12,정상
3640,9731,108250000,5.7,36,2024-11-26,정상
3641,2158,730000,5.3,24,2024-09-03,연체
3642,1273,730000,5.65,24,2023-02-13,완료
3643,2884,1040000,5.59,12,2024-11-24,완료
3644,3367,2550000,4.88,6,2024-05-03,완료
3645,9070,37090000,5.77,36,2024-02-07,정상
3646,3630,5700000,4.31,24,2023-03-17,연체
3647,3872,1450000,5.47,6,2024-05-13,정상
3648,9768,108250000,4.7,60,2024-07-16,정상
3649,4091,2000000,5.51,24,2024-08-11,정상
3650,8595,51290000,5.42,24,2023-09-16,정상
3651,2105,1860000,5.08,24,2024-11-29,완료
3652,7121,27160000,4.56,60,2024-07-12,정상
3653,5732,2860000,4.31,6,2023-10-17,연체
3654,1881,2840000,5.41,6,2024-10-06,완료
3655,6629,1080000,4.94,24,2024-09-27,완료
3656,9094,3790000,4.52,36,2023-08-27,정상
3657,8011,730000,5.77,12,2024-10-16,연체
3658,2308,1910000,5.09,6,2024-08-21,완료
3659,7391,1230000,5.28,6,2023-09-14,정상
3660,4573,730000,5.52,12,2024-02-27,완료
3661,8466,2740000,4.85,24,2023-01-10,정상
3662,5918,3800000,5.45,24,2024-07-06,정상
3663,1388,1620000,5.27,24,2023-07-19,연체
3664,7789,730000,6.32,12,2023-01-28,정상
3665,3940,9610000,4.51,24,2023-09-30,정상
3666,285,770000,5.66,6,2023-04-03,연체
3667,4379,730000,5.95,12,2023-05-23,정상
3668,987,3730000,5.09,24,2024-09-18,정상
3669,4190,1030000,5.62,12,2024-09-29,연체
3670,8622,740000,5.66,6,2024-03-17,정상
3671,7127,51190000,5.44,60,2024-08-29,정상
3672,4941,730000,5.83,6,2023-08-16,정상
3673,459,108250000,5.53,60,2024-12-12,정상
3674,9380,47080000,5.35,36,2023-08-18,정상
3675,4159,3030000,5.03,36,2024-09-13,정상
3676,917,28740000,4.79,60,2024-02-24,정상
3677,5819,78200000,4.96,60,2024-04-11,정상
3678,7860,1070000,6.37,12,2024-11-18,연체
3679,2936,2070000,5.09,6,2023-04-11,정상
3680,4684,108250000,5.33,24,2023-01-26,정상
3681,6282,10730000,4.61,36,2023-07-16,정상
3682,2132,8620000,4.61,24,2023-01-17,정상
3683,1426,2890000,5.43,12,2023-05-17,완료
3684,1746,1320000,5.66,6,2023-09-07,정상
3685,4119,730000,5.47,6,2023-05-06,정상
3686,4740,730000,5.51,12,2024-09-30,연체
3687,448,730000,6.18,6,2023-02-20,연체
3688,8796,2170000,4.69,24,2024-08-07,정상
3689,7501,2080000,4.64,6,2023-03-26,정상
3690,4258,1110000,5.54,6,2024-02-22,연체
3691,6000,10900000,5.08,24,2023-07-18,정상
3692,4506,10050000,5.49,12,2023-06-20,정상
3693,1005,5280000,4.93,24,2023-08-27,정상
3694,9173,9580000,4.42,12,2023-09-12,정상
3695,8737,1450000,4.65,6,2023-08-03,연체
3696,6625,730000,5.96,12,2024-02-12,연체
3697,8661,2870000,5.03,12,2024-04-20,정상
3698,8715,920000,4.94,6,2024-03-04,연체
3699,4588,4650000,5.17,12,2023-06-17,정상
3700,3237,3330000,5.46,12,2023-03-17,완료
3701,5759,730000,5.48,12,2024-06-27,연체
3702,9432,2130000,5.91,6,2024-05-22,정상
3703,512,3980000,5.08,24,2023-03-10,정상
3704,2366,6040000,5.14,12,2023-07-24,완료
3705,238,3320000,4.97,24,2024-04-14,완료
3706,7083,2690000,5.18,6,2024-05-17,정상
3707,5276,14410000,4.64,12,2024-03-17,정상
3708,1392,40550000,4.86,36,2023-09-28,연체
3709,3884,6260000,4.81,24,2024-07-12,완료
3710,2425,730000,5.35,12,2024-12-08,정상
3711,5328,1480000,5.46,12,2024-01-22,정상
3712,7829,2170000,5.24,12,2024-04-10,정상
3713,6576,15660000,5.13,12,2024-06-30,정상
3714,8560,730000,6.26,6,2023-09-04,연체
3715,8780,4720000,5.36,24,2024-04-07,정상
3716,5626,12430000,5.01,12,2024-01-12,정상
3717,4595,730000,4.9,24,2024-11-16,정상
3718,3491,78350000,4.69,24,2023-04-02,정상
3719,4475,730000,5.92,12,2024-08-16,정상
3720,5930,730000,4.58,6,2024-08-21,정상
3721,6544,10950000,4.82,24,2023-02-23,완료
3722,9402,24200000,6.42,36,2024-06-19,완료
3723,26,29560000,4.72,36,2023-10-27,완료
3724,7758,3630000,4.72,36,2023-07-20,정상
3725,5747,11040000,4.62,36,2024-11-20,정상
3726,6123,32960000,4.85,24,2023-06-05,정상
3727,4730,1770000,4.86,24,2024-01-09,정상
3728,6548,5270000,5.37,24,2023-09-06,정상
3729,5176,2150000,4.71,12,2024-07-12,정상
3730,6916,7110000,5.65,12,2024-05-14,정상
3731,6801,3840000,4.22,12,2024-09-10,정상
3732,3190,11960000,5.29,12,2023-03-19,정상
3733,5941,6460000,5.3,36,2024-06-29,정상
3734,4155,4040000,4.82,36,2023-06-29,정상
3735,5542,1440000,5.41,24,2024-03-29,정상
3736,732,730000,5.53,24,2023-03-07,정상
3737,8562,14550000,5.67,12,2024-04-27,정상
3738,7463,13500000,4.13,12,2023-05-12,정상
3739,8683,730000,6.1,12,2023-12-12,연체
3740,739,740000,4.85,6,2023-11-09,정상
3741,2300,2430000,4.62,12,2024-02-07,완료
3742,6103,1280000,5.22,24,2024-06-07,정상
3743,5899,730000,4.71,24,2024-01-12,연체
3744,270,730000,5.63,6,2024-05-26,완료
3745,4552,21260000,5.19,60,2024-08-05,완료
3746,2043,1290000,5.3,6,2023-12-01,정상
3747,2549,3080000,5.18,24,2024-07-03,정상
3748,7010,3950000,5.19,12,2024-08-05,연체
3749,8633,2660000,5.49,24,2023-08-08,완료
3750,3806,730000,5.66,24,2024-01-24,완료
3751,2694,21780000,5.22,24,2023-09-22,완료
3752,9555,1780000,4.62,24,2023-08-16,연체
3753,6824,730000,5.33,24,2023-12-21,완료
3754,8996,730000,5.31,6,2024-01-09,정상
3755,5756,1700000,5.74,6,2023-09-09,정상
3756,3365,730000,5.82,6,2023-12-27,연체
3757,9900,6970000,5.07,12,2023-11-21,정상
3758,4600,820000,4.94,12,2024-10-19,정상
3759,5656,33310000,5.12,24,2023-12-07,연체
3760,4734,2260000,4.75,6,2024-03-23,정상
3761,6804,1230000,5.78,12,2024-01-26,정상
3762,7827,730000,6.3,6,2023-11-27,완료
3763,8981,730000,5.31,6,2023-01-21,정상
3764,2032,108250000,5.68,24,2024-10-16,정상
3765,1927,2000000,5.61,12,2024-02-27,연체
3766,1243,4890000,4.14,12,2023-11-26,정상
3767,970,59200000,5.38,36,2023-10-16,정상
3768,9127,3580000,5.51,12,2024-12-17,정상
3769,5184,730000,6.08,24,2023-03-05,정상
3770,3805,16410000,4.83,12,2023-04-22,정상
3771,2095,850000,5.68,12,2024-05-01,정상
3772,5624,1020000,5.74,6,2023-06-18,연체
3773,2285,1900000,5.22,24,2024-03-03,완료
3774,9689,2440000,4.75,24,2023-08-19,정상
3775,8546,9130000,5.27,12,2024-08-15,정상
3776,2446,12610000,5.13,24,2024-01-31,완료
3777,3482,46490000,4.86,36,2024-11-17,정상
3778,9840,4540000,5.8,24,2023-01-30,정상
3779,474,4870000,5.51,36,2024-01-30,정상
3780,1187,1590000,6.26,12,2023-04-30,완료
3781,5955,730000,5.02,6,2024-05-06,연체
3782,4898,1160000,5.02,6,2024-08-08,정상
3783,3177,970000,5.01,12,2024-06-27,정상
3784,1992,730000,5.26,24,2023-09-18,연체
3785,5734,2580000,5.31,24,2024-07-11,완료
3786,3272,730000,6.05,24,2024-12-31,연체
3787,4219,9830000,4.95,12,2024-05-07,정상
3788,5308,1950000,5.33,12,2024-05-14,완료
3789,5173,2460000,5.05,12,2023-12-13,완료
3790,7,8330000,5.18,24,2024-12-10,정상
3791,9973,3590000,4.39,24,2024-07-27,정상
3792,2302,5760000,4.2,12,2024-06-23,완료
3793,5885,1120000,5.39,12,2024-11-26,정상
3794,6266,2860000,5.23,6,2024-09-04,완료
3795,455,11400000,4.91,24,2024-03-26,정상
3796,8577,7840000,5.44,12,2023-01-15,정상
3797,5723,14410000,5.07,24,2024-08-06,정상
3798,9953,730000,6.3,24,2023-07-16,연체
3799,8121,5450000,5.61,24,2024-01-14,정상
3800,965,1270000,4.99,6,2024-08-05,정상
3801,1442,730000,6.01,12,2024-09-14,정상
3802,5373,1040000,4.32,6,2024-04-02,연체
3803,4243,3260000,5.34,12,2023-09-17,정상
3804,469,4000000,4.92,12,2024-11-30,정상
3805,2543,30160000,5.33,60,2024-01-02,정상
3806,1998,108250000,5.48,36,2023-10-02,정상
3807,6948,87300000,6.39,60,2023-10-26,정상
3808,4504,5760000,6.1,12,2024-11-06,정상
3809,1935,13510000,4.72,12,2023-04-05,완료
3810,5175,860000,5.06,12,2024-03-21,정상
3811,4058,1950000,4.36,12,2023-03-16,정상
3812,1001,1080000,5.87,6,2023-11-08,연체
3813,2356,3000000,4.58,12,2024-08-10,정상
3814,2099,2390000,4.78,6,2024-10-19,정상
3815,2474,830000,5.44,24,2023-10-12,정상
3816,1285,2910000,5.96,12,2024-03-15,정상
3817,791,730000,5.85,6,2023-04-15,정상
3818,3981,730000,6.19,6,2024-07-23,정상
3819,1152,13830000,4.34,24,2023-01-19,정상
3820,5177,11120000,4.31,36,2023-07-28,정상
3821,976,1820000,5.09,24,2024-06-05,완료
3822,7697,2080000,5.48,12,2023-04-07,정상
3823,5846,960000,5.63,12,2023-12-25,정상
3824,4848,11550000,4.82,12,2024-08-23,정상
3825,6945,108250000,6.17,60,2023-10-04,정상
3826,217,730000,6.21,24,2023-11-01,연체
3827,129,3580000,5.2,36,2024-10-15,완료
3828,8321,770000,5.33,24,2024-02-11,완료
3829,1268,3390000,5.4,24,2023-04-17,정상
3830,7311,730000,5.3,24,2023-01-19,정상
3831,3660,4120000,5.34,24,2024-02-13,연체
3832,6800,5650000,4.61,12,2024-12-15,정상
3833,9098,7020000,4.85,24,2023-04-26,정상
3834,4149,730000,6.24,24,2024-08-27,연체
3835,8819,1020000,5.28,12,2024-03-22,정상
3836,4404,7400000,5.36,12,2023-01-30,완료
3837,926,4970000,4.83,24,2024-09-03,정상
3838,8459,29880000,4.75,36,2024-07-22,완료
3839,5921,5700000,5.42,36,2023-07-01,정상
3840,8814,6600000,4.43,36,2024-08-06,정상
3841,1204,2610000,4.71,12,2023-08-20,연체
3842,203,59210000,5.23,60,2024-08-12,정상
3843,5174,730000,5.63,12,2024-07-01,정상
3844,5731,730000,6.26,6,2023-07-31,연체
3845,4714,4440000,5.14,24,2023-02-11,완료
3846,2848,4790000,4.63,24,2023-05-08,정상
3847,3809,47800000,5.61,36,2024-06-08,완료
3848,9225,14940000,4.65,36,2024-09-12,정상
3849,8777,2820000,4.28,24,2023-05-02,완료
3850,7989,730000,5.41,24,2023-12-09,연체
3851,9852,3930000,4.85,12,2024-04-28,정상
3852,5596,750000,5.55,24,2024-05-04,정상
3853,196,16920000,5.47,36,2024-12-25,정상
3854,6543,4350000,4.95,36,2023-04-20,정상
3855,1080,7620000,3.98,12,2023-08-30,정상
3856,2650,3320000,4.68,36,2024-05-17,연체
3857,1770,1010000,5.23,24,2024-01-28,정상
3858,3040,21180000,4.78,60,2023-01-26,정상
3859,8535,10370000,4.53,24,2023-12-12,정상
3860,1964,730000,5.62,24,2024-07-11,정상
3861,2686,1310000,5.23,24,2023-09-16,완료
3862,3417,810000,5.97,24,2024-12-25,정상
3863,1617,1710000,4.84,12,2023-01-14,정상
3864,2884,1860000,4.68,24,2024-10-05,정상
3865,4269,3080000,4.84,36,2024-09-13,정상
