review_id,a_category,b_category,final_category,a_action_mask,b_action_mask,resolution_source
review-baf06dfd954e1b3a,1,1,1,34,34,auto_agreement_not_human_adjudication
review-bb5f23238e492978,1,1,1,34,34,auto_agreement_not_human_adjudication
review-bb9c36d01d5155e0,1,1,1,46,34,adjudication
review-bbb9c61301495984,1,1,1,38,32,adjudication
review-bbe916c0a5f13c5a,1,1,1,34,34,auto_agreement_not_human_adjudication
review-bc1ad3d6715f9dab,3,3,3,16,16,auto_agreement_not_human_adjudication
review-bc58d3e0a50d9226,2,3,3,16,16,adjudication
review-bc5e0069bbad7d67,2,2,2,16,16,auto_agreement_not_human_adjudication
review-bc64860bdda53d26,2,2,2,16,16,auto_agreement_not_human_adjudication
review-bc694d6c09671509,2,2,2,16,16,auto_agreement_not_human_adjudication
review-bc805b9a7fefb4c4,1,1,1,2,2,auto_agreement_not_human_adjudication
review-bc9e9750ed2f2246,2,2,2,16,16,auto_agreement_not_human_adjudication
review-bcc4f27e08342914,1,1,1,2,2,auto_agreement_not_human_adjudication
review-bcc86610acb0f9ff,4,1,1,64,1,adjudication
review-bd2ee152f3f0a48a,2,2,2,16,16,auto_agreement_not_human_adjudication
review-be260e01d39a8550,1,1,1,34,34,auto_agreement_not_human_adjudication
review-be8ac302beaaaa38,2,2,2,16,16,auto_agreement_not_human_adjudication
review-bee3f43cbc979cc9,1,1,1,40,32,adjudication
review-bef01b9f140416fa,3,3,3,16,16,auto_agreement_not_human_adjudication
review-bf29414211fedb11,1,1,1,34,34,auto_agreement_not_human_adjudication
review-bf5160f31d278f7b,2,2,2,16,16,auto_agreement_not_human_adjudication
review-bf5fe000a4a8d9d5,1,1,1,34,32,adjudication
review-bfec2c5d687b5e5a,2,2,2,16,16,auto_agreement_not_human_adjudication
review-c0dec81b7dec22c5,2,2,2,16,16,auto_agreement_not_human_adjudication
review-c1f9d74965cc6d56,1,1,1,34,34,auto_agreement_not_human_adjudication
review-c20d5a744e2d1992,2,2,2,16,16,auto_agreement_not_human_adjudication
review-c279584d5ab81989,1,1,1,34,34,auto_agreement_not_human_adjudication
review-c2b11fa0a2c3336f,2,2,2,16,16,auto_agreement_not_human_adjudication
review-c3157c09e695c3c5,3,3,3,16,16,auto_agreement_not_human_adjudication
review-c386fdd922078a37,2,2,2,16,16,auto_agreement_not_human_adjudication
review-c4368025a0827097,2,2,2,16,16,auto_agreement_not_human_adjudication
review-c45238e439e91c4d,1,1,1,34,32,adjudication
review-c58fb60504f6d9d8,1,1,1,34,32,adjudication
review-c68883cf7ada6886,1,1,1,34,34,auto_agreement_not_human_adjudication
review-c7968cd6c3d1f959,2,2,2,16,32,adjudication
review-c7acc1ae1037b569,1,1,1,34,34,auto_agreement_not_human_adjudication
review-c7e00bcebb9cbe94,2,2,2,16,16,auto_agreement_not_human_adjudication
review-c7f76b1e1d80f49a,1,1,1,32,32,auto_agreement_not_human_adjudication
review-c854f5ffb64bf3eb,2,2,2,16,16,auto_agreement_not_human_adjudication
review-c882bcd351e72aee,1,1,1,34,34,auto_agreement_not_human_adjudication
review-c964452f27eede18,4,4,4,64,64,auto_agreement_not_human_adjudication
review-c9bef77585bdd4e8,1,1,1,34,32,adjudication
review-c9d8f2fd31ea0b7f,3,3,3,16,16,auto_agreement_not_human_adjudication
review-c9eb20ef749cdb80,3,3,3,16,2,adjudication
review-ca1c52eb5a9e5a56,2,2,2,16,16,auto_agreement_not_human_adjudication
review-ca722d1baa37caa6,1,1,1,34,34,auto_agreement_not_human_adjudication
review-cb23ce2b380ce815,2,2,2,16,16,auto_agreement_not_human_adjudication
review-cb28a9106aef5505,1,1,1,34,34,auto_agreement_not_human_adjudication
review-cb32573abbb83f9f,1,1,1,34,34,auto_agreement_not_human_adjudication
review-cbbc72e510f286e3,1,1,1,34,34,auto_agreement_not_human_adjudication
review-cc41f3f4cb6e8629,1,4,1,2,16,adjudication
review-cc4b16c2321274c0,1,1,1,32,34,adjudication
review-cd10401423c3d046,2,2,2,16,16,auto_agreement_not_human_adjudication
review-cd39c34a5496687f,2,2,2,16,16,auto_agreement_not_human_adjudication
review-ce1c5319370b9470,1,1,1,32,32,auto_agreement_not_human_adjudication
review-cf59c2e5933f9fa2,1,1,1,34,34,auto_agreement_not_human_adjudication
review-cf827f0ca2b4b9a5,1,3,1,34,16,adjudication
review-cfc0b12d1183e034,2,2,2,16,8,adjudication
review-cfc80bc1541032df,1,1,1,34,34,auto_agreement_not_human_adjudication
review-d09099c6189f497b,1,2,1,2,32,adjudication
review-d0b2291f671afb13,1,1,1,34,38,adjudication
review-d14a67c8f86c82a4,2,2,2,16,16,auto_agreement_not_human_adjudication
review-d17c9fec5ba94c27,1,1,1,2,34,adjudication
review-d1b2ce556231d1b9,3,3,3,16,16,auto_agreement_not_human_adjudication
review-d1ba629d1b0c0386,4,2,4,2,16,adjudication
review-d1df54b7c0853995,3,3,3,16,16,auto_agreement_not_human_adjudication
review-d23755346e397e0d,2,2,2,16,16,auto_agreement_not_human_adjudication
review-d27b1f741c6ce442,2,2,2,16,16,auto_agreement_not_human_adjudication
review-d299ebb8c45a2f94,4,2,4,64,16,adjudication
review-d29c44ff7ec787ac,3,3,3,16,16,auto_agreement_not_human_adjudication
review-d33ca86cba802688,1,1,1,38,38,auto_agreement_not_human_adjudication
review-d3b4daac66058960,3,3,3,16,16,auto_agreement_not_human_adjudication
review-d4f84d432e0d6d48,2,2,2,16,16,auto_agreement_not_human_adjudication
review-d51050ea94555e33,2,2,2,16,16,auto_agreement_not_human_adjudication
review-d51a67f2e9911b52,2,2,2,16,16,auto_agreement_not_human_adjudication
review-d5b560692f11bda9,2,2,2,16,16,auto_agreement_not_human_adjudication
review-d5cad39f16073736,3,3,3,16,16,auto_agreement_not_human_adjudication
review-d684b0c9ae6eb28a,1,1,1,34,34,auto_agreement_not_human_adjudication
review-d6877eb437269499,2,2,2,16,16,auto_agreement_not_human_adjudication
review-d6c4551ca894cc5c,1,1,1,34,34,auto_agreement_not_human_adjudication
review-d7a5aa91a1e9ef4b,3,3,3,16,16,auto_agreement_not_human_adjudication
review-d7e6ea82c0cbb7e9,2,2,2,16,16,auto_agreement_not_human_adjudication
review-d86e9dceafb57f52,1,1,1,34,34,auto_agreement_not_human_adjudication
review-d870679fd6d01453,3,1,1,6,2,adjudication
review-d885dde988ff81fc,1,1,1,2,8,adjudication
review-d927fc30b0eb9634,1,1,1,34,34,auto_agreement_not_human_adjudication
review-da0a87e60e534a8c,2,2,2,16,16,auto_agreement_not_human_adjudication
review-da5d8fa9864e211c,2,2,2,16,16,auto_agreement_not_human_adjudication
review-db2e98df10b7ea70,2,2,2,16,16,auto_agreement_not_human_adjudication
review-dbbbfc8d3d158c2b,1,1,1,34,32,adjudication
review-dc7c7acfd6e2db79,3,1,1,2,2,adjudication
review-dcfd0dc2773c1fc2,1,1,1,2,34,adjudication
review-dd1fb20a78a6cb60,2,2,2,16,16,auto_agreement_not_human_adjudication
review-dd797ac5b4317bd3,1,1,1,34,34,auto_agreement_not_human_adjudication
review-dd85b84b55bb501f,1,1,1,34,34,auto_agreement_not_human_adjudication
review-dd9532439f290332,2,2,2,16,16,auto_agreement_not_human_adjudication
review-de8af5907865c3e9,1,1,1,34,34,auto_agreement_not_human_adjudication
review-e058b93119484125,1,1,1,34,34,auto_agreement_not_human_adjudication
review-e0a264aecc7ee1b0,2,2,2,16,16,auto_agreement_not_human_adjudication
review-e0ac9753946feca9,1,4,4,2,2,adjudication
review-e1afcc76f28c4344,2,2,2,16,16,auto_agreement_not_human_adjudication
review-e23fed0689d23954,3,3,3,16,16,auto_agreement_not_human_adjudication
review-e244a46bb3c89288,1,1,1,34,38,adjudication
review-e2fd25cde06b2e07,3,3,3,16,16,auto_agreement_not_human_adjudication
review-e3520951883c1b51,3,3,3,16,16,auto_agreement_not_human_adjudication
review-e384094846a41b50,1,1,1,34,34,auto_agreement_not_human_adjudication
review-e432c718725ac7ae,2,2,2,16,16,auto_agreement_not_human_adjudication
review-e447ae957587a31d,1,1,1,34,34,auto_agreement_not_human_adjudication
review-e4dca6a839df1435,2,2,2,16,16,auto_agreement_not_human_adjudication
review-e511d7b76f480bc7,1,1,1,34,34,auto_agreement_not_human_adjudication
review-e58d1b3575c7e041,1,2,1,2,32,adjudication
review-e597199623b7b146,2,2,2,16,16,auto_agreement_not_human_adjudication
review-e5c8c789729e554c,2,2,2,16,16,auto_agreement_not_human_adjudication
review-e63efe4044e2aa11,1,1,1,2,34,adjudication
review-e736bb0c132d2dc8,3,2,1,2,32,adjudication
review-e8170ecaf09d95c1,2,2,2,16,16,auto_agreement_not_human_adjudication
review-e8eebbe27a7969d0,2,2,2,8,8,auto_agreement_not_human_adjudication
review-e945ebd4e9533666,1,1,1,34,34,auto_agreement_not_human_adjudication
review-e9f675e3299ddb73,2,2,2,16,16,auto_agreement_not_human_adjudication
review-ea8461ed56afeacc,2,2,2,16,16,auto_agreement_not_human_adjudication
review-eb5bbbe4e99a6f72,2,2,2,16,16,auto_agreement_not_human_adjudication
review-ec018bdef14b4dce,1,1,1,34,34,auto_agreement_not_human_adjudication
review-ecc7155e591dec16,1,2,1,2,16,adjudication
review-ecf66ae7e447041e,1,2,1,2,32,adjudication
review-ed0223c36d93b8cb,3,1,1,2,2,adjudication
review-ed79a40573a23e85,3,3,3,16,16,auto_agreement_not_human_adjudication
review-ed8aaee3f91ea267,3,3,3,16,16,auto_agreement_not_human_adjudication
review-ed9460d363c32a66,2,2,2,16,16,auto_agreement_not_human_adjudication
review-edccbb4371a90711,1,1,1,34,34,auto_agreement_not_human_adjudication
review-ee314103593cc397,1,1,1,34,34,auto_agreement_not_human_adjudication
review-ee537a73bef42552,2,2,2,16,16,auto_agreement_not_human_adjudication
review-eef1587711f81f11,2,2,2,16,32,adjudication
review-f02182e8f70df196,1,1,1,34,32,adjudication
review-f0b50460d98d4502,1,1,1,34,34,auto_agreement_not_human_adjudication
review-f0f2fce9301b3378,2,2,2,16,16,auto_agreement_not_human_adjudication
review-f160feeb48ff21ee,1,1,1,34,34,auto_agreement_not_human_adjudication
review-f278c035dcc448b5,2,2,2,16,16,auto_agreement_not_human_adjudication
review-f296f965b5850c48,3,3,3,16,16,auto_agreement_not_human_adjudication
review-f2b62cb8a35fddc1,1,1,1,40,32,adjudication
review-f2c9ba7c14a8e7f4,1,1,1,32,34,adjudication
review-f360abb82bcec3c4,1,1,1,34,34,auto_agreement_not_human_adjudication
review-f44ca51cbbeda00a,1,1,1,32,34,adjudication
review-f48d763f6c721c5c,1,1,1,34,34,auto_agreement_not_human_adjudication
review-f50f53a543208b94,1,1,1,32,32,auto_agreement_not_human_adjudication
review-f68968ff35ec4bea,2,2,2,16,16,auto_agreement_not_human_adjudication
review-f69dbdcfebf56998,1,1,1,34,34,auto_agreement_not_human_adjudication
review-f6f3c364cb66f280,2,2,2,16,16,auto_agreement_not_human_adjudication
review-f778efc9b041eb43,2,2,2,16,16,auto_agreement_not_human_adjudication
review-f7a215d9e903b41d,3,1,1,6,2,adjudication
review-f7fbd3ab7a66e194,3,3,3,16,16,auto_agreement_not_human_adjudication
review-f8f57cab36b5e4f9,2,2,2,16,16,auto_agreement_not_human_adjudication
review-f9733f5a3ed15ba1,1,1,1,34,34,auto_agreement_not_human_adjudication
review-f9b9a4279458f732,1,1,1,34,34,auto_agreement_not_human_adjudication
review-f9bfaa738fc7db78,2,2,2,16,16,auto_agreement_not_human_adjudication
review-f9d950de655d05cd,1,1,1,8,8,auto_agreement_not_human_adjudication
review-fb2667a6a62b9c38,2,2,2,16,16,auto_agreement_not_human_adjudication
review-fbd669140c0c37bb,2,2,2,16,16,auto_agreement_not_human_adjudication
review-fcb737070b879e4f,2,2,2,16,16,auto_agreement_not_human_adjudication
review-fcba197835dbe421,1,1,1,2,2,auto_agreement_not_human_adjudication
review-fd0999fd546bfed8,1,1,1,34,34,auto_agreement_not_human_adjudication
review-fd4a4694d748b8f1,1,1,1,2,2,auto_agreement_not_human_adjudication
review-fd55ea1d04c7fc3b,3,3,3,16,16,auto_agreement_not_human_adjudication
review-fdc12fa3cc3d98a8,1,1,1,34,34,auto_agreement_not_human_adjudication
review-fe1822167edb9625,3,2,2,16,16,adjudication
review-fef8e7e55d89aaf1,1,1,1,34,34,auto_agreement_not_human_adjudication
review-ff1ff6c1bdbeaee2,2,2,2,16,16,auto_agreement_not_human_adjudication
review-ff57873bcca80e84,4,2,1,64,16,adjudication
review-ff61b33b22cf09db,4,2,1,64,32,adjudication
review-ff7824303811b880,1,1,1,34,34,auto_agreement_not_human_adjudication
